Algorithm ,Input Size ,Threads ,Jalapeno runtime ,Home runtime   ,Radish runtime
bbp       ,    500000 ,      2 ,   522.055       ,               , 254.529
bbp       ,    500000 ,      4 ,   281.462       ,               , 153.443
bbp       ,    500000 ,      8 ,   157.701       ,               , 129.328
bbp       ,    500000 ,     16 ,   138.403       ,               , 177.247
bbs       ,    500000 ,      1 ,  1848.57        ,               , 899.6
msp       ,    500000 ,      2 ,     0.129405    ,               ,   0.0637915
msp       ,    500000 ,      4 ,     0.107879    ,               ,   0.0528624
msp       ,    500000 ,      8 ,     0.0822896   ,               ,   0.0468905
msp       ,    500000 ,     16 ,     0.0657846   ,               ,   0.0337286
mss       ,    500000 ,      1 ,     0.211979    ,               ,   0.101301
qsp       ,    500000 ,      2 ,     0.130914    ,               ,   0.0622585
qsp       ,    500000 ,      4 ,     0.0980027   ,               ,   0.047573
qsp       ,    500000 ,      8 ,     0.09304     ,               ,   0.0472996
qsp       ,    500000 ,     16 ,     0.0948459   ,               ,   0.0440344
qss       ,    500000 ,      1 ,     0.160284    ,               ,   0.0751621
reference ,    500000 ,      1 ,     0.163373    ,               ,   0.0912468
